time;P;;;;;;;;;;
20200111:0811;250794.0;;;;;;;;;;
20200111:0911;602082.0;;;;;;;;;;
20200111:1011;500130.0;;;;;;;;;;
20200111:1111;536454.0;;;;;;;;;;
20200111:1211;558396.0;;;;;;;;;;
20200111:1311;233388.0;;;;;;;;;;
20200111:1411;87840.0;;;;;;;;;;
20200111:1511;0.0;;;;;;;;;;
20200111:1611;0.0;;;;;;;;;;
20200111:1711;0.0;;;;;;;;;;
20200111:1811;0.0;;;;;;;;;;
20200111:1911;0.0;;;;;;;;;;
20200111:2011;0.0;;;;;;;;;;
20200111:2111;0.0;;;;;;;;;;
20200111:2211;0.0;;;;;;;;;;
20200111:2311;0.0;;;;;;;;;;
20200112:0011;0.0;;;;;;;;;;
20200112:0111;0.0;;;;;;;;;;
20200112:0211;0.0;;;;;;;;;;
20200112:0311;0.0;;;;;;;;;;
20200112:0411;0.0;;;;;;;;;;
20200112:0511;0.0;;;;;;;;;;
20200112:0611;0.0;;;;;;;;;;
20200112:0711;0.0;;;;;;;;;;
20200112:0811;113022.0;;;;;;;;;;
20200112:0911;524808.0;;;;;;;;;;
20200112:1011;655110.0;;;;;;;;;;
20200112:1111;314802.0;;;;;;;;;;
20200112:1211;532386.0;;;;;;;;;;
20200112:1311;387792.0;;;;;;;;;;
20200112:1411;11232.0;;;;;;;;;;
20200112:1511;0.0;;;;;;;;;;
20200112:1611;0.0;;;;;;;;;;
20200112:1711;0.0;;;;;;;;;;
20200112:1811;0.0;;;;;;;;;;
20200112:1911;0.0;;;;;;;;;;
20200112:2011;0.0;;;;;;;;;;
20200112:2111;0.0;;;;;;;;;;
20200112:2211;0.0;;;;;;;;;;
20200112:2311;0.0;;;;;;;;;;
20200113:0011;0.0;;;;;;;;;;
20200113:0111;0.0;;;;;;;;;;
20200113:0211;0.0;;;;;;;;;;
20200113:0311;0.0;;;;;;;;;;
20200113:0411;0.0;;;;;;;;;;
20200113:0511;0.0;;;;;;;;;;
20200113:0611;0.0;;;;;;;;;;
20200113:0711;0.0;;;;;;;;;;
20200113:0811;40590.0;;;;;;;;;;
20200113:0911;75600.0;;;;;;;;;;
20200113:1011;147654.0;;;;;;;;;;
20200113:1111;625734.0;;;;;;;;;;
20200113:1211;424188.0;;;;;;;;;;
20200113:1311;159138.0;;;;;;;;;;
20200113:1411;88470.0;;;;;;;;;;
20200113:1511;0.0;;;;;;;;;;
20200113:1611;0.0;;;;;;;;;;
20200113:1711;0.0;;;;;;;;;;
20200113:1811;0.0;;;;;;;;;;
20200113:1911;0.0;;;;;;;;;;
20200113:2011;0.0;;;;;;;;;;
20200113:2111;0.0;;;;;;;;;;
20200113:2211;0.0;;;;;;;;;;
20200113:2311;0.0;;;;;;;;;;
20200114:0011;0.0;;;;;;;;;;
20200114:0111;0.0;;;;;;;;;;
20200114:0211;0.0;;;;;;;;;;
20200114:0311;0.0;;;;;;;;;;
20200114:0411;0.0;;;;;;;;;;
20200114:0511;0.0;;;;;;;;;;
20200114:0611;0.0;;;;;;;;;;
20200114:0711;0.0;;;;;;;;;;
20200114:0811;223146.0;;;;;;;;;;
20200114:0911;299340.0;;;;;;;;;;
20200114:1011;374670.0;;;;;;;;;;
20200114:1111;111222.0;;;;;;;;;;
20200114:1211;144288.0;;;;;;;;;;
20200114:1311;120060.0;;;;;;;;;;
20200114:1411;86202.0;;;;;;;;;;
20200114:1511;0.0;;;;;;;;;;
20200114:1611;0.0;;;;;;;;;;
20200114:1711;0.0;;;;;;;;;;
20200114:1811;0.0;;;;;;;;;;
20200114:1911;0.0;;;;;;;;;;
20200114:2011;0.0;;;;;;;;;;
20200114:2111;0.0;;;;;;;;;;
20200114:2211;0.0;;;;;;;;;;
20200114:2311;0.0;;;;;;;;;;
20200115:0011;0.0;;;;;;;;;;
20200115:0111;0.0;;;;;;;;;;
20200115:0211;0.0;;;;;;;;;;
20200115:0311;0.0;;;;;;;;;;
20200115:0411;0.0;;;;;;;;;;
20200115:0511;0.0;;;;;;;;;;
20200115:0611;0.0;;;;;;;;;;
20200115:0711;0.0;;;;;;;;;;
20200115:0811;131472.0;;;;;;;;;;
20200115:0911;119484.0;;;;;;;;;;
20200115:1011;660636.0;;;;;;;;;;
20200115:1111;791190.0;;;;;;;;;;
20200115:1211;708804.0;;;;;;;;;;
20200115:1311;80442.0;;;;;;;;;;
20200115:1411;103788.0;;;;;;;;;;
20200115:1511;0.0;;;;;;;;;;
20200115:1611;0.0;;;;;;;;;;
20200115:1711;0.0;;;;;;;;;;
20200115:1811;0.0;;;;;;;;;;
20200115:1911;0.0;;;;;;;;;;
20200115:2011;0.0;;;;;;;;;;
20200115:2111;0.0;;;;;;;;;;
20200115:2211;0.0;;;;;;;;;;
20200115:2311;0.0;;;;;;;;;;
20200116:0011;0.0;;;;;;;;;;
20200116:0111;0.0;;;;;;;;;;
20200116:0211;0.0;;;;;;;;;;
20200116:0311;0.0;;;;;;;;;;
20200116:0411;0.0;;;;;;;;;;
20200116:0511;0.0;;;;;;;;;;
20200116:0611;0.0;;;;;;;;;;
20200116:0711;0.0;;;;;;;;;;
20200116:0811;216468.0;;;;;;;;;;
20200116:0911;611172.0;;;;;;;;;;
20200116:1011;760590.0;;;;;;;;;;
20200116:1111;831744.0;;;;;;;;;;
20200116:1211;709848.0;;;;;;;;;;
20200116:1311;741474.0;;;;;;;;;;
20200116:1411;469638.0;;;;;;;;;;
20200116:1511;0.0;;;;;;;;;;
20200116:1611;0.0;;;;;;;;;;
20200116:1711;0.0;;;;;;;;;;
20200116:1811;0.0;;;;;;;;;;
20200116:1911;0.0;;;;;;;;;;
20200116:2011;0.0;;;;;;;;;;
20200116:2111;0.0;;;;;;;;;;
20200116:2211;0.0;;;;;;;;;;
20200116:2311;0.0;;;;;;;;;;
20200117:0011;0.0;;;;;;;;;;
20200117:0111;0.0;;;;;;;;;;
20200117:0211;0.0;;;;;;;;;;
20200117:0311;0.0;;;;;;;;;;
20200117:0411;0.0;;;;;;;;;;
20200117:0511;0.0;;;;;;;;;;
20200117:0611;0.0;;;;;;;;;;
20200117:0711;0.0;;;;;;;;;;
20200117:0811;216000.0;;;;;;;;;;
20200117:0911;609930.0;;;;;;;;;;
20200117:1011;779724.0;;;;;;;;;;
20200117:1111;875772.0;;;;;;;;;;
20200117:1211;829368.0;;;;;;;;;;
20200117:1311;728694.0;;;;;;;;;;
20200117:1411;498654.0;;;;;;;;;;
20200117:1511;0.0;;;;;;;;;;
20200117:1611;0.0;;;;;;;;;;
20200117:1711;0.0;;;;;;;;;;
20200117:1811;0.0;;;;;;;;;;
20200117:1911;0.0;;;;;;;;;;
20200117:2011;0.0;;;;;;;;;;
20200117:2111;0.0;;;;;;;;;;
20200117:2211;0.0;;;;;;;;;;
20200117:2311;0.0;;;;;;;;;;
20200118:0011;0.0;;;;;;;;;;
20200118:0111;0.0;;;;;;;;;;
20200118:0211;0.0;;;;;;;;;;
20200118:0311;0.0;;;;;;;;;;
20200118:0411;0.0;;;;;;;;;;
20200118:0511;0.0;;;;;;;;;;
20200118:0611;0.0;;;;;;;;;;
20200118:0711;0.0;;;;;;;;;;
20200118:0811;15948.0;;;;;;;;;;
20200118:0911;266526.0;;;;;;;;;;
20200118:1011;273906.0;;;;;;;;;;
20200118:1111;347850.0;;;;;;;;;;
20200118:1211;516474.0;;;;;;;;;;
20200118:1311;35946.0;;;;;;;;;;
20200118:1411;86364.0;;;;;;;;;;
20200118:1511;0.0;;;;;;;;;;
20200118:1611;0.0;;;;;;;;;;
20200118:1711;0.0;;;;;;;;;;
20200118:1811;0.0;;;;;;;;;;
20200118:1911;0.0;;;;;;;;;;
20200118:2011;0.0;;;;;;;;;;
20200118:2111;0.0;;;;;;;;;;
20200118:2211;0.0;;;;;;;;;;
20200118:2311;0.0;;;;;;;;;;
20200119:0011;0.0;;;;;;;;;;
20200119:0111;0.0;;;;;;;;;;
20200119:0211;0.0;;;;;;;;;;
20200119:0311;0.0;;;;;;;;;;
20200119:0411;0.0;;;;;;;;;;
20200119:0511;0.0;;;;;;;;;;
20200119:0611;0.0;;;;;;;;;;
20200119:0711;0.0;;;;;;;;;;
20200119:0811;76014.0;;;;;;;;;;
20200119:0911;210420.0;;;;;;;;;;
20200119:1011;224694.0;;;;;;;;;;
20200119:1111;220878.0;;;;;;;;;;
20200119:1211;286164.0;;;;;;;;;;
20200119:1311;383004.0;;;;;;;;;;
20200119:1411;99630.0;;;;;;;;;;
20200119:1511;0.0;;;;;;;;;;
20200119:1611;0.0;;;;;;;;;;
20200119:1711;0.0;;;;;;;;;;
20200119:1811;0.0;;;;;;;;;;
20200119:1911;0.0;;;;;;;;;;
20200119:2011;0.0;;;;;;;;;;
20200119:2111;0.0;;;;;;;;;;
20200119:2211;0.0;;;;;;;;;;
20200119:2311;0.0;;;;;;;;;;
20200120:0011;0.0;;;;;;;;;;
20200120:0111;0.0;;;;;;;;;;
20200120:0211;0.0;;;;;;;;;;
20200120:0311;0.0;;;;;;;;;;
