snapshots,v1,v2,v3,v4,v5,v6,v7,v8
04.01.2022 09:00,243.869583,568.9195449,114.0798779,173.6394218,230.0794938,320.6694901,108.2798181,100.3195
04.01.2022 10:00,312.4694657,647.1594823,153.8398354,199.2793364,290.7593603,310.7495059,140.2797643,98.9995
04.01.2022 11:00,314.1094629,633.799493,211.3997738,204.19932,295.7993492,286.3495447,170.0797143,95.3596
04.01.2022 12:00,326.0694424,623.4795012,231.3597524,211.4792958,296.8793469,254.4695954,236.1196033,95.5596
04.01.2022 13:00,305.829477,557.439554,212.3597728,211.7592948,282.719378,212.7896617,261.2795611,96.0796
04.01.2022 14:00,253.6295663,421.9196625,206.559779,205.4393159,229.5194951,161.7097429,242.839592,100.9994
04.01.2022 15:00,231.9096034,409.2396726,211.3997738,185.279383,205.439548,147.6697652,195.7996711,98.0395
04.01.2022 16:00,255.6695628,456.7996346,242.6797403,182.9593907,264.079419,149.1497629,155.1997393,106.1594
04.01.2022 17:00,272.6695337,372.3597021,270.3197108,192.2793597,296.8793469,140.4297767,159.4397321,117.3992
04.01.2022 18:00,279.5895219,229.8398161,307.1196714,196.9593441,309.2793196,152.829757,195.5196715,116.2792
04.01.2022 19:00,239.9095898,125.0798999,338.6796376,208.999304,285.5993717,155.5497527,245.1595881,102.2795
04.01.2022 20:00,163.149721,77.27993818,333.2796434,197.9193409,200.8395582,119.46981,262.6395588,109.5592
04.01.2022 21:00,131.3497754,52.55995795,328.039649,163.5194555,145.5996797,92.06985361,267.7195502,112.0392
04.01.2022 22:00,115.7498021,46.47996282,294.5996848,148.1595066,119.7197366,79.66987332,246.399586,114.2792
04.01.2022 23:00,103.7898225,39.47996842,222.1997622,143.7595213,97.6797851,73.02988388,182.5196934,114.5192
05.01.2022 00:00,98.22983203,35.91997126,149.1198404,134.0395536,86.6798093,74.38988172,116.7598038,113.5592
05.01.2022 01:00,84.66985521,34.71997222,90.47990319,128.4395723,82.39981872,64.30989775,75.71987279,124.5992
05.01.2022 02:00,71.82987717,34.8799721,54.35994183,134.3195527,78.3198277,59.42990551,58.55990162,122.1592
05.01.2022 03:00,65.58988784,34.999972,44.43995245,129.7995678,76.6798313,66.74989387,56.75990464,122.9192
05.01.2022 04:00,65.86988736,33.91997286,42.27995476,120.5195987,76.15983245,106.4698307,54.71990807,111.4792
05.01.2022 05:00,78.74986534,31.03997517,42.83995416,115.0396169,76.15983245,250.5496016,54.71990807,120.9592
05.01.2022 06:00,89.26984735,36.03997117,35.31996221,128.2795728,81.03982171,331.3094732,56.63990484,124.5591
05.01.2022 07:00,104.3098216,42.75996579,76.39991825,141.9595273,91.87979786,311.7495043,58.55990162,111.6392
05.01.2022 08:00,145.1497518,216.7998266,111.8398803,139.3595359,133.3197067,321.6694885,70.39988173,107.7193
05.01.2022 09:00,242.8695847,566.5595468,113.5998784,172.9194242,229.1194959,319.3494922,107.8398188,119.7592
05.01.2022 10:00,311.1894679,644.4394844,153.1998361,198.4393392,289.559363,309.439508,139.7197653,109.1993
05.01.2022 11:00,312.7894651,631.1594951,210.5197747,203.3593228,294.559352,285.1595466,169.3997154,105.3594
05.01.2022 12:00,324.7194447,620.9195033,230.3997535,210.5992987,295.6393496,253.439597,235.1596049,111.4392
05.01.2022 13:00,304.5594792,555.1195559,211.4797737,210.8792978,281.5593806,211.919663,260.1995629,113.7192
05.01.2022 14:00,252.5995681,420.1596639,205.6797799,204.5993187,228.5594972,161.0397439,241.8395937,108.7993
05.01.2022 15:00,230.9596051,407.519674,210.5197747,184.5193856,204.5995499,147.0797661,194.9996724,110.2793
05.01.2022 16:00,254.6395646,454.8796361,241.6797414,182.1993933,262.9994214,148.5597638,154.5597403,123.8792
05.01.2022 17:00,271.5595356,370.8397033,269.199712,191.4793624,295.6393496,139.8797776,158.7597333,115.5192
05.01.2022 18:00,278.4395239,228.8798169,305.8396728,196.1193469,307.9593225,152.199758,194.7196729,109.1993
05.01.2022 19:00,238.9195914,124.5599004,337.2796391,208.119307,284.3993743,154.9197537,244.1195899,94.6796
05.01.2022 20:00,162.4797222,76.95993843,331.9196448,197.0793437,199.99956,118.9998108,261.5595606,84.5996
05.01.2022 21:00,130.8397763,52.35995811,326.6796505,162.8394577,144.9596811,91.71985417,266.5995521,82.5197
05.01.2022 22:00,115.2798029,46.31996294,293.3596861,147.5595086,119.2397377,79.35987382,245.3595878,40.76
05.01.2022 23:00,103.3598233,39.31996854,221.2797632,143.1595233,97.27978598,72.71988438,181.7596946,23.52
06.01.2022 00:00,97.83983269,35.79997136,148.4798411,133.4795555,86.3198101,74.07988221,116.2798046,20.56
06.01.2022 01:00,84.35985574,34.59997232,90.11990357,127.8795742,82.03981951,64.03989818,75.39987333,17.48
06.01.2022 02:00,71.55987763,34.71997222,54.15994205,133.7595546,77.9998284,59.15990594,58.31990202,20.48
06.01.2022 03:00,65.35988823,34.83997213,44.23995266,129.2395696,76.35983201,66.4798943,56.55990498,17.6
06.01.2022 04:00,65.59988782,33.79997296,42.11995493,119.9996004,75.83983315,106.0398314,54.51990841,17.6
06.01.2022 05:00,78.39986594,30.91997526,42.63995438,114.5596185,75.83983315,249.5196033,54.51990841,19.4
06.01.2022 06:00,88.91984795,35.8799713,35.15996238,127.7595746,80.6798225,329.9194754,56.39990525,18.84
06.01.2022 07:00,103.8798224,42.55996595,76.07991859,141.3595293,91.47979874,310.4795063,58.31990202,17.08
06.01.2022 08:00,144.5597528,215.8798273,111.3598808,138.7595379,132.7597079,320.3194907,70.1198822,17.56
06.01.2022 09:00,241.8395865,564.2395486,113.119879,172.1994266,228.159498,318.0394943,107.3998196,19.56
06.01.2022 10:00,309.8794701,641.7594866,152.5598368,197.6393419,288.3593656,308.15951,139.1197663,16.96
06.01.2022 11:00,311.5194673,628.5594972,209.6397757,202.5193256,293.3193547,283.9995484,168.6797166,16.76
06.01.2022 12:00,323.3594471,618.3195053,229.4397545,209.7193016,294.3993523,252.3595987,234.1596066,19.44
06.01.2022 13:00,303.2794814,552.8395577,210.5997747,209.9993007,280.3993831,211.0396644,259.1195647,18.16
06.01.2022 14:00,251.5595698,418.3996653,204.8397808,203.7593215,227.6394992,160.359745,240.7995955,17.56
06.01.2022 15:00,229.9996067,405.8396753,209.6397757,183.7593881,203.7595517,146.4397672,194.1596738,16.76
06.01.2022 16:00,253.5595664,452.9996376,240.6797425,181.4393958,261.8794239,147.9197648,153.9197414,19.48
06.01.2022 17:00,270.3995376,369.2797046,268.0797132,190.679365,294.3993523,139.2797785,158.1197344,17
06.01.2022 18:00,277.2795259,227.9598176,304.5996741,195.3193496,306.6793253,151.599759,193.9196742,17.56
06.01.2022 19:00,237.9595931,124.0399008,335.8796406,207.2793098,283.199377,154.2797547,243.1195916,17.16
06.01.2022 20:00,161.7997233,76.63993869,330.5196463,196.2793464,199.1595618,118.4798116,260.4795624,20.12
06.01.2022 21:00,130.2797772,52.1199583,325.3196519,162.15946,144.3596824,91.3198548,265.479554,16.88
06.01.2022 22:00,114.7998037,46.1199631,292.1596874,146.9195108,118.7197388,79.03987433,244.3595895,17.2
06.01.2022 23:00,102.919824,39.15996867,220.3597642,142.5595253,96.87978686,72.39988488,181.0396959,18.48
07.01.2022 00:00,97.39983345,35.63997149,147.8798418,132.9195574,85.95981089,73.75988272,115.7998055,18.88
07.01.2022 01:00,83.99985636,34.43997245,89.75990396,127.3595759,81.6798203,63.75989862,75.07987387,18.8
07.01.2022 02:00,71.23987818,34.55997235,53.91994231,133.1995564,77.6798291,58.91990632,58.07990243,17.12
07.01.2022 03:00,65.07988871,34.71997222,44.07995283,128.7195714,76.03983271,66.19989474,56.31990538,20.16
07.01.2022 04:00,65.35988823,33.63997309,41.9599551,119.519602,75.51983386,105.5998321,54.27990881,17.52
07.01.2022 05:00,78.07986648,30.79997536,42.47995455,114.11962,75.51983386,248.5196049,54.27990881,18.24
07.01.2022 06:00,88.55984856,35.75997139,34.99996255,127.2395763,80.35982321,328.5594776,56.15990565,22.28
07.01.2022 07:00,103.4398231,42.39996608,75.75991894,140.7595313,91.11979954,309.1995084,58.07990243,23.4
07.01.2022 08:00,143.9597538,214.999828,110.9198813,138.1995398,132.2397091,318.9994928,69.79988274,21.48
07.01.2022 09:00,240.8395882,561.8795505,112.6398795,171.479429,227.1995002,316.7194964,106.9598203,22.04
07.01.2022 10:00,308.5994723,639.1194887,151.9198374,196.7993447,287.1593682,306.8795121,138.5597672,24.28
07.01.2022 11:00,310.1994696,625.9194993,208.7997766,201.6793284,292.1193573,282.7995503,167.9997178,21.52
07.01.2022 12:00,322.0394493,615.7595074,228.4797555,208.8393046,293.199355,251.3196004,233.1996082,21.8
07.01.2022 13:00,302.0394835,550.5195596,209.7197756,209.1193036,279.2393857,210.1596658,258.0395665,23.2
07.01.2022 14:00,250.5195716,416.6796667,203.9997817,202.8793244,226.6795013,159.719746,239.7995971,25
07.01.2022 15:00,229.0396083,404.1596767,208.7997766,182.9993906,202.8795537,145.8397681,193.3596752,21.52
07.01.2022 16:00,252.5195682,451.1196391,239.6797435,180.6793983,260.7994262,147.3197658,153.2797425,24.44
07.01.2022 17:00,269.2795395,367.7597058,266.9597144,189.9193676,293.199355,138.7197794,157.4397355,21.76
07.01.2022 18:00,276.1195278,226.9998184,303.3196754,194.5193523,305.439328,150.95976,193.0796756,21.56
07.01.2022 19:00,236.9595948,123.5599012,334.4796421,206.3993127,282.0393795,153.6397557,242.1195932,22.84
07.01.2022 20:00,161.1597244,76.31993894,329.1596478,195.4393492,198.3195637,117.9998124,259.3995642,21.08
07.01.2022 21:00,129.7597781,51.91995846,323.9596534,161.4794623,143.7596837,90.95985537,264.3995558,22.92
07.01.2022 22:00,114.3198045,45.91996326,290.9196887,146.3195128,118.2397399,78.71987484,243.3195912,23.76
07.01.2022 23:00,102.5198247,38.9999688,219.4397652,141.9995271,96.47978774,72.11988533,180.2796971,21.16
08.01.2022 00:00,96.99983413,35.47997162,147.2798424,132.3595592,85.59981168,73.47988317,115.3198063,18.44
08.01.2022 01:00,83.63985698,34.27997258,89.35990438,126.8395776,81.35982101,63.519899,74.7598744,19.6
08.01.2022 02:00,70.95987866,34.43997245,53.71994252,132.6395583,77.35982981,58.6799067,57.83990283,19.32
08.01.2022 03:00,64.79988919,34.55997235,43.87995305,128.1995731,75.71983342,65.91989519,56.07990579,19.16
08.01.2022 04:00,65.07988871,33.51997318,41.75995532,119.0396036,75.19983456,105.1598328,54.03990921,18.64
08.01.2022 05:00,77.75986703,30.67997546,42.27995476,113.6396216,75.19983456,247.4796065,54.03990921,17.64
